story,val2,persp_val,alt_persp_val,sa_order,key_resp_24.keys,key_resp_24.rt,trials_28.thisRepN,trials_28.thisTrialN,trials_28.thisN,trials_28.thisIndex,trials_28.ran,storyfile11,storyfile12,storyfile13,storyfile14,storyfile21,storyfile22,storyfile23,storyfile24,storyfile31,storyfile32,storyfile33,storyfile34,storyfile41,storyfile42,storyfile43,storyfile44,storypic11,storypic12,storypic13,storypic14,storypic21,storypic22,storypic23,storypic24,storypic31,storypic32,storypic33,storypic34,storypic41,storypic42,storypic43,storypic44,perspective1,perspective2,perspective3,perspective4,perspective10,perspective20,perspective30,perspective40,persp_pic1,persp_pic2,persp_pic3,persp_pic4,persp_pic10,persp_pic20,persp_pic30,persp_pic40,sa1_1,sa2_1,sa3_1,sa4_1,q5_1,q6_1,sa1_2,sa2_2,sa3_2,sa4_2,q5_2,q6_2,sa1_3,sa2_3,sa3_3,sa4_3,q5_3,q6_3,sa1_4,sa2_4,sa3_4,sa4_4,q5_4,q6_4,sa1_10,sa2_10,sa3_10,sa4_10,q5_10,q6_10,sa1_20,sa2_20,sa3_20,sa4_20,q5_20,q6_20,sa1_30,sa2_30,sa3_30,sa4_30,q5_30,q6_30,sa1_40,sa2_40,sa3_40,sa4_40,q5_40,q6_40,Prolific_ID,date,expName,psychopyVersion,OS,frameRate,participant,id,session,researcher,key_resp_45.keys,key_resp_45.rt,trials_64.thisRepN,trials_64.thisTrialN,trials_64.thisN,trials_64.thisIndex,trials_64.ran,img,key_resp_46.keys,key_resp_46.rt,key_resp_48.keys,key_resp_48.rt,key_resp_49.keys,key_resp_49.rt,key_resp_38.keys,key_resp_38.rt,trials_32.thisRepN,trials_32.thisTrialN,trials_32.thisN,trials_32.thisIndex,trials_32.ran,instruct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_33.thisRepN,trials_33.thisTrialN,trials_33.thisN,trials_33.thisIndex,trials_33.ran,key_resp_17.keys,key_resp_17.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,instructText,key_resp_9.keys,key_resp_9.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_22.keys,key_resp_22.rt,key_resp_21.keys,key_resp_21.rt,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_17.ran,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_19.ran,key_resp_18.keys,key_resp_18.rt,trials_22.thisRepN,trials_22.thisTrialN,trials_22.thisN,trials_22.thisIndex,trials_22.ran,key_resp_25.keys,key_resp_25.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_23.keys,key_resp_23.rt,trials_25.thisRepN,trials_25.thisTrialN,trials_25.thisN,trials_25.thisIndex,trials_25.ran,key_resp_4.keys,key_resp_4.rt,trials_34.thisRepN,trials_34.thisTrialN,trials_34.thisN,trials_34.thisIndex,trials_34.ran,key_resp_41.keys,key_resp_41.rt,key_resp_42.keys,key_resp_42.rt,trials_50.thisRepN,trials_50.thisTrialN,trials_50.thisN,trials_50.thisIndex,trials_50.ran,key_resp_43.keys,key_resp_43.rt,trials_53.thisRepN,trials_53.thisTrialN,trials_53.thisN,trials_53.thisIndex,trials_53.ran,key_resp_20.keys,key_resp_20.rt,trials_48.thisRepN,trials_48.thisTrialN,trials_48.thisN,trials_48.thisIndex,trials_48.ran,trials_36.thisRepN,trials_36.thisTrialN,trials_36.thisN,trials_36.thisIndex,trials_36.ran,trials_38.thisRepN,trials_38.thisTrialN,trials_38.thisN,trials_38.thisIndex,trials_38.ran,trials_41.thisRepN,trials_41.thisTrialN,trials_41.thisN,trials_41.thisIndex,trials_41.ran,trials_44.thisRepN,trials_44.thisTrialN,trials_44.thisN,trials_44.thisIndex,trials_44.ran,trials_35.thisRepN,trials_35.thisTrialN,trials_35.thisN,trials_35.thisIndex,trials_35.ran,key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,trials_29.thisRepN,trials_29.thisTrialN,trials_29.thisN,trials_29.thisIndex,trials_29.ran,story_presses.keys,story_presses.rt,key_resp_35.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,audio,key_resp_16.keys,key_resp_16.rt,key_resp_36.keys,key_resp_36.rt,typedWord,trials_30.thisRepN,trials_30.thisTrialN,trials_30.thisN,trials_30.thisIndex,trials_30.ran,prompt,trials_65.thisRepN,trials_65.thisTrialN,trials_65.thisN,trials_65.thisIndex,trials_65.ran,shortanswer1,key_resp_27.keys,key_resp_27.rt,shortanswer2,key_resp_28.keys,key_resp_28.rt,shortanswer3,key_resp_29.keys,key_resp_29.rt,shortanswer4,key_resp_30.keys,key_resp_30.rt,shortanswer5,key_resp_31.keys,key_resp_31.rt,shortanswer6,key_resp_32.keys,key_resp_32.rt,shortanswer7,key_resp_33.keys,key_resp_33.rt,shortanswer8,key_resp_34.keys,key_resp_34.rt,key_resp_47.keys,key_resp_47.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran
34,1,4,30,1,space,1186.046555,0,0,0,0,1,audio_excel_sheets/11_audio.xlsx,audio_excel_sheets/12_audio.xlsx,audio_excel_sheets/13_audio.xlsx,audio_excel_sheets/14_audio.xlsx,audio_excel_sheets/21_audio.xlsx,audio_excel_sheets/22_audio.xlsx,audio_excel_sheets/23_audio.xlsx,audio_excel_sheets/24_audio.xlsx,audio_excel_sheets/31_audio.xlsx,audio_excel_sheets/32_audio.xlsx,audio_excel_sheets/33_audio.xlsx,audio_excel_sheets/34_audio.xlsx,audio_excel_sheets/41_audio.xlsx,audio_excel_sheets/42_audio.xlsx,audio_excel_sheets/43_audio.xlsx,audio_excel_sheets/44_audio.xlsx,storypics/11_storypic.jpg,storypics/12_storypic.jpg,storypics/13_storypic.jpg,storypics/14_storypic.jpg,storypics/21_storypic.jpg,storypics/22_storypic.jpg,storypics/23_storypic.jpg,storypics/24_storypic.jpg,storypics/31_storypic.jpg,storypics/32_storypic.jpg,storypics/33_storypic.jpg,storypics/34_storypic.jpg,storypics/41_storypic.jpg,storypics/42_storypic.jpg,storypics/43_storypic.jpg,storypics/44_storypic.jpg,Restaurant Critic,Airport Customer Experience Manager,Grocery Store Customer Experience Manager,Dean of Academic Studies,Couples Therapist,Wedding Planner,Business Reporter,Matchmaker,jobphotos/restaurant_critic.jpg,jobphotos/acem.jpg,jobphotos/gscem.jpg,jobphotos/dean.jpg,jobphotos/couples.jpg,jobphotos/weddingplanner.jpg,jobphotos/business_reporter.jpg,jobphotos/matchmaker.jpg,How is the restaurant decorated?,What are the menus like?,"What does each client order?
",How do the clients like the food?,How is the restaurant supplied?,How do the clients like the chairs?,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Toward which security line are the clients walking?,What section and seat are roped off on the plane?,"What is the grocery store like upon entering?
",What items do the clients pick out to buy?,"How many checkout lanes are open, and which one do the clients step into?
","How much are the groceries, and what method of payment do the clients use?
",What is the grocery store like when the clients leave?,"How many checkout lanes are closed, and which one do the clients step into?","What is the lecture hall like?
","What class are the students in, and what is the day’s lecture about?
","What is something taught in lecture?
","What is the next assessment/assignment for the class, and when is it scheduled/due?","What class are the students in, and what was yesterday’s lecture about?","What is the lecture hall’s max capacity?
",For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,What is the initial reason stated by the initiator for why he/she wanted to meet?,Who wants how many letters burned as a result of the breakup?,For how long has the couple been dating?,"How many diamonds are on the ring, and what is the diamond color?","In/on what item is the ring presented?
","Who does the new fiancee text first?
",For how long has the couple known the other was going to propose?,Who does the new fiancee hug first?,What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,What is each business person’s salary?,How much money is at stake in the final offer made?,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",What is the initial question that ends the conversation between the couple?,What object is the initiator of the interaction holding when he/she leaves the other person?,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,space,7.22195,0,0,0,0,1,consent/consent1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,space,29.772115,0,1,1,1,1,consent/consent2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,space,8.35061,0,2,2,2,1,consent/consent3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,space,2.390625,0,3,3,3,1,consent/consent4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,space,123.890075,0,4,4,4,1,consent/consent5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,,,,,,,,,return,4.742465,space,18.23657,space,1.8319,space,16.42223,0,0,0,0,1,Welcome to the Job-Simulator Task!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,,,,,,,,,,,,,,,space,0.820405,0,1,1,1,1,"In this experiment, you will listen to one short story.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,,,,,,,,,,,,,,,space,2.2151,0,2,2,2,1,"During the story, we will ask you to take on the perspective of a type of job. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f715998dddddd783c24fb3a,2020-09-28_14h34.11.298,1_online_exp,2020.1.2,Win32,60,84,,,,,,,,,,,,,,,,,,space,0.579565,0,3,3,3,1,This perpsective will be: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
